YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,BENE_CC_BH_ADHD_OTHCD_V1_PCT,BENE_CC_BH_ALCOHOL_DRUG_V1_PCT,BENE_CC_BH_ALZ_NONALZDEM_V2_PCT,BENE_CC_BH_ANXIETY_V1_PCT,BENE_CC_BH_BIPOLAR_V1_PCT,BENE_CC_BH_DEPRESS_V1_PCT,BENE_CC_BH_MOOD_V2_PCT,BENE_CC_BH_PD_V1_PCT,BENE_CC_BH_PTSD_V1_PCT,BENE_CC_BH_SCHIZO_OTHPSY_V1_PCT,BENE_CC_BH_TOBACCO_V1_PCT,BENE_CC_PH_AFIB_V2_PCT,BENE_CC_PH_ARTHRITIS_V2_PCT,BENE_CC_PH_ASTHMA_V2_PCT,BENE_CC_PH_CANCER6_V2_PCT,BENE_CC_PH_CKD_V2_PCT,BENE_CC_PH_COPD_V2_PCT,BENE_CC_PH_DIABETES_V2_PCT,BENE_CC_PH_HF_NONIHD_V2_PCT,BENE_CC_PH_HYPERLIPIDEMIA_V2_PCT,BENE_CC_PH_HYPERTENSION_V2_PCT,BENE_CC_PH_ISCHEMICHEART_V2_PCT,BENE_CC_PH_OSTEOPOROSIS_V2_PCT,BENE_CC_PH_PARKINSON_V2_PCT,BENE_CC_PH_STROKE_TIA_V2_PCT,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT
2020,FY,PROVIDER,SNF,495250,"Galax Health And Rehab",Galax,VA,24333,75,94,2992,1839821,1410551,1087266,1360064,57,*,78,47,53,93,*,0,0,0,*,*,2.98,*,*,52,69,20,63,65,*,0,*,27,39,55,*,17,56,55,55,48,76,*,52,19,*,32,*,0,*,*,*,0,28,20,*,*,*,0,0,18,0
2020,FY,PROVIDER,SNF,495252,"Battlefield Park Healthcare Center",Petersburg,VA,23805,99,131,4280,2295076,2462997,2008444,2142953,73,*,76,51,49,35,65,0,0,0,0,0,2.76,*,18,63,44,15,64,68,*,*,25,16,33,52,*,19,57,34,57,45,77,*,39,12,*,39,*,*,*,*,*,*,11,14,*,*,12,0,*,*,31
2020,FY,PROVIDER,SNF,495253,"Autumn Care Of Norfolk",Norfolk,VA,23502,47,63,978,557823,565052,496407,562351,62,0,73,51,49,43,47,*,*,0,*,*,3.43,*,*,49,36,*,47,55,*,*,*,*,34,57,*,23,57,36,60,53,*,*,53,*,*,30,*,*,0,0,25,0,22,*,0,*,*,0,*,*,17
2020,FY,PROVIDER,SNF,495254,"Colonnades Health Care Center",Charlottesville,VA,22901,177,211,5026,3121577,2700456,2290568,2496217,*,7,85,36,64,93,*,*,*,0,*,*,2.31,*,9,55,38,8,53,56,8,*,*,7,49,77,12,16,44,27,37,47,85,*,50,40,11,33,9,7,*,0,9,0,19,6,*,9,*,0,0,31,*
2020,FY,PROVIDER,SNF,495255,"Skyview Springs Rehab And Nursing Center",Luray,VA,22835,158,188,5636,2384702,2871144,2305870,2663957,63,68,78,53,47,94,*,*,*,0,*,0,2.33,*,17,57,47,8,62,65,*,*,19,28,41,84,8,18,76,42,51,47,73,91,56,15,9,27,*,*,*,*,7,*,18,10,*,9,*,0,*,9,41
2020,FY,PROVIDER,SNF,495256,"Autumn Care Of Chesapeake",Chesapeake,VA,23320,228,259,5030,3174209,2884019,2575117,2931640,32,*,79,38,62,64,33,*,*,0,0,0,3.73,*,11,51,46,7,58,61,*,*,8,11,42,72,19,19,52,44,63,61,87,*,55,18,7,39,*,*,*,0,18,0,37,5,*,13,*,*,*,8,8
2020,FY,PROVIDER,SNF,495257,"The Laurels Of Willow Creek",Midlothian,VA,23113,340,389,11129,8692572,6010692,4983303,5366391,24,4,80,41,59,76,21,*,*,0,*,*,2.56,*,9,52,52,31,56,58,4,*,11,19,46,65,15,21,45,30,49,50,84,96,51,23,6,32,4,5,*,*,9,*,20,10,3,8,9,0,*,8,22
2020,FY,PROVIDER,SNF,495258,"Autumn Care Of Suffolk",Suffolk,VA,23434,105,116,2808,1351298,1632284,1413538,1605510,59,*,78,41,59,50,49,0,0,0,*,*,3.25,*,13,63,37,*,46,47,*,0,*,22,40,63,12,18,59,39,56,57,76,*,52,15,*,43,*,*,*,0,35,0,22,*,*,10,0,0,*,*,18
2020,FY,PROVIDER,SNF,495259,"Heritage Hall Grundy",Grundy,VA,24614,83,96,3627,1776367,1827216,1378817,1725298,55,*,79,40,60,99,*,0,0,0,*,0,2.59,*,*,58,54,*,48,49,*,*,16,19,45,67,*,16,55,57,60,54,78,*,60,22,*,23,0,*,*,*,14,0,38,*,*,*,*,0,*,19,*
2020,FY,PROVIDER,SNF,495260,"Beaufont Health And Rehabilitation Center",Richmond,VA,23225,215,248,6248,4380826,3206312,2661521,2964392,31,*,77,43,57,53,42,*,*,0,*,*,3.24,*,15,54,48,19,60,60,*,*,14,22,40,60,18,20,60,33,60,55,83,*,50,20,5,37,10,7,5,*,9,0,23,6,5,8,8,0,*,17,*
